lsoa,lsoa_code,unit_travel_time,unit_postcode,selected,admissions,relative_frequency
South Gloucestershire 025E,E01014977,18.7,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 026A,E01014922,18.7,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 026B,E01014923,20.8,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 026C,E01014924,17.6,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 026D,E01014973,19.8,BS105NB,1,3.0,0.00038545547989207247
South Gloucestershire 026E,E01014975,19.8,BS105NB,1,2.0,0.00025697031992804833
South Gloucestershire 026F,E01014976,19.8,BS105NB,1,2.0,0.00025697031992804833
South Gloucestershire 027A,E01014925,20.8,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 027B,E01014926,21.9,BS105NB,1,3.666666667,0.00047111225324425026
South Gloucestershire 027C,E01014927,23.0,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 027D,E01014928,21.9,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 027E,E01014958,21.9,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 028A,E01014915,19.8,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 028B,E01015003,19.8,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 028C,E01015005,18.7,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 028D,E01015007,18.7,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 028E,E01015008,21.9,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 029A,E01014943,20.8,BA13NG,1,0.333333333,4.2828386611846335e-05
South Gloucestershire 029B,E01014944,20.8,BA13NG,1,1.666666667,0.000214141933316202
South Gloucestershire 029C,E01014972,20.8,BA13NG,1,3.666666667,0.00047111225324425026
South Gloucestershire 029D,E01015002,20.8,BA13NG,1,2.333333333,0.00029979870653989467
South Gloucestershire 029E,E01015004,21.9,BA13NG,1,0.666666667,8.565677335217782e-05
South Gloucestershire 029F,E01015006,21.9,BA13NG,1,2.333333333,0.00029979870653989467
South Gloucestershire 030A,E01014936,17.6,BA13NG,1,0.666666667,8.565677335217782e-05
South Gloucestershire 030B,E01014938,19.8,BA13NG,1,0.666666667,8.565677335217782e-05
South Gloucestershire 030C,E01014939,19.8,BA13NG,1,0.666666667,8.565677335217782e-05
South Gloucestershire 030D,E01014940,19.8,BA13NG,1,1.333333333,0.00017131354657587048
South Gloucestershire 030E,E01014941,20.8,BA13NG,1,4.0,0.0005139406398560967
South Gloucestershire 030F,E01014942,19.8,BA13NG,1,3.0,0.00038545547989207247
South Gloucestershire 030G,E01014945,18.7,BA13NG,1,1.666666667,0.000214141933316202
South Gloucestershire 031A,E01014916,18.7,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 031B,E01014917,21.9,BA13NG,1,3.666666667,0.00047111225324425026
